Wilayah;Keterangan;Bahasa Indonesia;Bahasa Inggris;Matematika;IPA;Fisika;Kimia;Biologi;Ekonomi;Sosiologi;Geografi;Kejuruan;Jumlah Peserta;latitude;longitude
Kabupaten Tanjung Jabung Barat;Nilai Rata-rata Sekolah UN SMA SMK;56,84;44,48;30,34;;;;;;;;73,42;735;-12.332.122;1.037.984.428
Kabupaten Tanjung Jabung Timur;Nilai Rata-rata Sekolah UN SMP;65,79;55,93;54,59;56,07;;;;;;;;3303;-13.291.599;10.389.973
Kabupaten Tanjung Jabung Timur;Nilai Rata-rata Sekolah UN SMA IPA;70,27;54,09;41,59;;53,58;47,99;51,82;;;;;519;-13.291.599;10.389.973
Kabupaten Tanjung Jabung Timur;Nilai Rata-rata Sekolah UN SMA IPS;60,69;45,57;40,8;;;;;45,19;50,48;45,23;;1204;-13.291.599;10.389.973
Kabupaten Tanjung Jabung Timur;Nilai Rata-rata Sekolah UN SMA SMK;61,05;56,56;59,23;;;;;;;;76,44;399;-13.291.599;10.389.973
Kabupaten Tapanuli Selatan;Nilai Rata-rata Sekolah UN SMP;76,71;73,49;73,61;72,25;;;;;;;;5333;15.774.933;992.785.583
Kabupaten Tapanuli Selatan;Nilai Rata-rata Sekolah UN SMA SMK;66,07;61,94;58,26;;;;;;;;77,73;1320;15.774.933;992.785.583
Kabupaten Tapanuli Selatan;Nilai Rata-rata Sekolah UN SMA IPS;62,19;46,71;42;;;;;40,59;48,36;44,54;;1024;15.774.933;992.785.583
Kabupaten Tapanuli Selatan;Nilai Rata-rata Sekolah UN SMA IPA;67,01;51,3;38,01;;50,02;45,51;41,97;;;;;1004;15.774.933;992.785.583
Kabupaten Tapanuli Tengah;Nilai Rata-rata Sekolah UN SMA IPA;77,6;68,04;70,66;;68,44;65,39;66,55;;;;;1346;18.493.299;98.704.075
Kabupaten Tapanuli Tengah;Nilai Rata-rata Sekolah UN SMA IPS;74,51;65,79;72,1;;;;;48,23;67,48;52,56;;1457;18.493.299;98.704.075
Kabupaten Tapanuli Tengah;Nilai Rata-rata Sekolah UN SMA SMK;61,68;60,09;56,26;;;;;;;;77,96;1571;18.493.299;98.704.075
Kabupaten Tapanuli Tengah;Nilai Rata-rata Sekolah UN SMP;72,98;66,84;70,34;69,6;;;;;;;;6212;18.493.299;98.704.075
Kabupaten Tapanuli Utara;Nilai Rata-rata Sekolah UN SMA SMK;51,25;46,54;31,53;;;;;;;;79,02;2015;20.405.246;991.013.498
Kabupaten Tapanuli Utara;Nilai Rata-rata Sekolah UN SMA IPS;74,37;65,48;73,03;;;;;70,79;67,81;66,53;;1475;20.405.246;991.013.498
Kabupaten Tapanuli Utara;Nilai Rata-rata Sekolah UN SMA IPA;80,98;69,69;71,32;;77,1;79,36;72,76;;;;;1919;20.405.246;991.013.498
Kabupaten Tapanuli Utara;Nilai Rata-rata Sekolah UN SMP;63,62;45,02;40,35;43,83;;;;;;;;6888;20.405.246;991.013.498
Kabupaten Tapin;Nilai Rata-rata Sekolah UN SMA IPA;71,27;71,35;58,65;;70,39;43,63;57,33;;;;;488;-29.160.746;1.150.465.991
Kabupaten Tapin;Nilai Rata-rata Sekolah UN SMP;73,44;68;67,18;72,34;;;;;;;;2486;-29.160.746;1.150.465.991
Kabupaten Tapin;Nilai Rata-rata Sekolah UN SMA IPS;61,87;67;50,24;;;;;60,9;60,19;42,79;;483;-29.160.746;1.150.465.991
Kabupaten Tapin;Nilai Rata-rata Sekolah UN SMA SMK;62,54;46,57;35,3;;;;;;;;71,15;676;-29.160.746;1.150.465.991
Kabupaten Tasikmalaya;Nilai Rata-rata Sekolah UN SMA SMK;66,52;60,7;56,66;;;;;;;;79,7;8164;-7.327.954;108.214.104
Kabupaten Tasikmalaya;Nilai Rata-rata Sekolah UN SMA IPS;68,93;56,93;58,68;;;;;54,56;51,95;57,61;;4262;-7.327.954;108.214.104
Kabupaten Tasikmalaya;Nilai Rata-rata Sekolah UN SMA IPA;74,4;63,16;58,12;;70,49;59,74;67,88;;;;;2737;-7.327.954;108.214.104
Kabupaten Tasikmalaya;Nilai Rata-rata Sekolah UN SMP;67,59;54,48;53,04;55,68;;;;;;;;29871;-7.327.954;108.214.104
Kabupaten Tebo;Nilai Rata-rata Sekolah UN SMP;70,29;59,36;53,93;55,6;;;;;;;;5218;-12.592.999;1.023.463.875
Kabupaten Tebo;Nilai Rata-rata Sekolah UN SMA IPA;71,39;57,54;45,96;;47,78;53,06;55,37;;;;;978;-12.592.999;1.023.463.875
Kabupaten Tebo;Nilai Rata-rata Sekolah UN SMA IPS;63,39;51,8;44,94;;;;;47,76;55,05;48,17;;1445;-12.592.999;1.023.463.875
Kabupaten Tebo;Nilai Rata-rata Sekolah UN SMA SMK;57,87;46,81;38,29;;;;;;;;75,3;787;-12.592.999;1.023.463.875
Kabupaten Tegal;Nilai Rata-rata Sekolah UN SMA IPA;76,35;61,05;52;;61,78;51,1;59,3;;;;;1782;-68.666.667;1.091.333.333
Kabupaten Tegal;Nilai Rata-rata Sekolah UN SMA IPS;68,74;56;50,49;;;;;63,55;64,44;50,22;;2356;-68.666.667;1.091.333.333
Kabupaten Tegal;Nilai Rata-rata Sekolah UN SMA SMK;75,93;63,42;68,02;;;;;;;;85,69;9143;-68.666.667;1.091.333.333
Kabupaten Tegal;Nilai Rata-rata Sekolah UN SMP;71,01;48,55;41,56;46,84;;;;;;;;23699;-68.666.667;1.091.333.333
Kabupaten Teluk Bintuni;Nilai Rata-rata Sekolah UN SMP;71,1;62,1;57,21;64,84;;;;;;;;958;-19.056.848;133.329.466
Kabupaten Teluk Bintuni;Nilai Rata-rata Sekolah UN SMA IPA;72,88;54,88;43,92;;43,08;47,72;70,32;;;;;161;-19.056.848;133.329.466
Kabupaten Teluk Bintuni;Nilai Rata-rata Sekolah UN SMA SMK;57,6;62,27;61,85;;;;;;;;78,57;104;-19.056.848;133.329.466
Kabupaten Teluk Bintuni;Nilai Rata-rata Sekolah UN SMA IPS;69,15;55;55,4;;;;;52,87;66,06;52,7;;178;-19.056.848;133.329.466
Kabupaten Teluk Wondama;Nilai Rata-rata Sekolah UN SMA IPS;63,4;62,97;55,11;;;;;41,75;53,95;46,12;;172;-28.551.699;1.343.236.557
Kabupaten Teluk Wondama;Nilai Rata-rata Sekolah UN SMA SMK;54,7;54,28;61,25;;;;;;;;74,18;86;-28.551.699;1.343.236.557
Kabupaten Teluk Wondama;Nilai Rata-rata Sekolah UN SMA IPA;77,1;66,55;64,38;;61,33;56,7;65,64;;;;;47;-28.551.699;1.343.236.557
Kabupaten Teluk Wondama;Nilai Rata-rata Sekolah UN SMP;72,56;69,35;64,86;71,58;;;;;;;;468;-28.551.699;1.343.236.557
Kabupaten Temanggung;Nilai Rata-rata Sekolah UN SMA SMK;77,86;59,45;65,07;;;;;;;;83,85;3261;-7.316.669;110.174.797
Kabupaten Temanggung;Nilai Rata-rata Sekolah UN SMA IPS;74,66;52,79;53,74;;;;;57,52;65,91;53,93;;1234;-7.316.669;110.174.797
Kabupaten Temanggung;Nilai Rata-rata Sekolah UN SMA IPA;80,34;58,77;46,43;;52,96;55,81;56,44;;;;;1097;-7.316.669;110.174.797
Kabupaten Temanggung;Nilai Rata-rata Sekolah UN SMP;78,54;55,17;51,87;55,76;;;;;;;;9925;-7.316.669;110.174.797
Kabupaten Timor Tengah Selatan;Nilai Rata-rata Sekolah UN SMA SMK;49,49;38,95;29,71;;;;;;;;76,13;990;-97.762.816;1.244.198.243
Kabupaten Timor Tengah Selatan;Nilai Rata-rata Sekolah UN SMA IPS;47,34;50,41;45,95;;;;;42,16;50,01;38,93;;1565;-97.762.816;1.244.198.243
Kabupaten Timor Tengah Selatan;Nilai Rata-rata Sekolah UN SMA IPA;58,86;54,86;43,58;;50,5;34,95;47,08;;;;;1522;-97.762.816;1.244.198.243
Kabupaten Timor Tengah Selatan;Nilai Rata-rata Sekolah UN SMP;63,3;61,14;56,14;62,49;;;;;;;;8175;-97.762.816;1.244.198.243
Kabupaten Timor Tengah Utara;Nilai Rata-rata Sekolah UN SMP;63,16;50,07;44,99;50,64;;;;;;;;4428;-94.522.647;124.597.132
Kabupaten Timor Tengah Utara;Nilai Rata-rata Sekolah UN SMA IPA;64,62;47,71;26,06;;36,11;29,03;31,64;;;;;887;-94.522.647;124.597.132
Kabupaten Timor Tengah Utara;Nilai Rata-rata Sekolah UN SMA IPS;51,99;40,99;24,84;;;;;30,15;42,73;31;;1331;-94.522.647;124.597.132
Kabupaten Timor Tengah Utara;Nilai Rata-rata Sekolah UN SMA SMK;54,7;41,43;31,81;;;;;;;;74,54;488;-94.522.647;124.597.132
Kabupaten Toba Samosir;Nilai Rata-rata Sekolah UN SMA IPA;82,36;67,23;77,72;;79,54;80,43;75,49;;;;;1327;23.502.398;992.785.583
Kabupaten Toba Samosir;Nilai Rata-rata Sekolah UN SMA IPS;78,06;63,1;75,26;;;;;68,7;69,1;67,2;;795;23.502.398;992.785.583
Kabupaten Toba Samosir;Nilai Rata-rata Sekolah UN SMA SMK;71,05;72,28;72,35;;;;;;;;81,04;1617;23.502.398;992.785.583
Kabupaten Toba Samosir;Nilai Rata-rata Sekolah UN SMP;73,02;62,42;60,31;67,44;;;;;;;;4108;23.502.398;992.785.583
Kabupaten Tojo Una-Una;Nilai Rata-rata Sekolah UN SMP;62,36;52,32;44,9;51,59;;;;;;;;2338;-1.098.757;1.215.370.003
Kabupaten Tojo Una-Una;Nilai Rata-rata Sekolah UN SMA IPA;65,75;50,53;31,97;;44,16;36,94;40,05;;;;;423;-1.098.757;1.215.370.003
Kabupaten Tojo Una-Una;Nilai Rata-rata Sekolah UN SMA IPS;54,29;41,07;25,28;;;;;33,18;45,23;36,72;;640;-1.098.757;1.215.370.003
Kabupaten Tojo Una-Una;Nilai Rata-rata Sekolah UN SMA SMK;58,2;38,95;26,36;;;;;;;;73,08;484;-1.098.757;1.215.370.003
Kabupaten Tolikara;Nilai Rata-rata Sekolah UN SMA IPS;67,76;67,09;72,23;;;;;45,62;62,58;49,64;;150;-3.481.132;1.384.787.258
Kabupaten Tolikara;Nilai Rata-rata Sekolah UN SMA SMK;74,93;70,87;64,5;;;;;;;;73,65;30;-3.481.132;1.384.787.258
Kabupaten Tolikara;Nilai Rata-rata Sekolah UN SMA IPA;63,39;65,23;46,99;;50;51,06;59,54;;;;;33;-3.481.132;1.384.787.258
Kabupaten Tolikara;Nilai Rata-rata Sekolah UN SMP;75,96;82,97;69,81;65,28;;;;;;;;702;-3.481.132;1.384.787.258
Kabupaten Tolitoli;Nilai Rata-rata Sekolah UN SMA SMK;55,77;43,77;34,09;;;;;;;;75,15;818;0.8768231;1.207.579.834
Kabupaten Tolitoli;Nilai Rata-rata Sekolah UN SMA IPS;54,51;49,58;30,03;;;;;38,21;44,03;35,13;;999;0.8768231;1.207.579.834
Kabupaten Tolitoli;Nilai Rata-rata Sekolah UN SMP;62,51;51,48;46,96;52,36;;;;;;;;3840;0.8768231;1.207.579.834
Kabupaten Tolitoli;Nilai Rata-rata Sekolah UN SMA IPA;65,04;55,67;36,27;;46,59;31,81;43,09;;;;;689;0.8768231;1.207.579.834
Kabupaten Toraja Utara;Nilai Rata-rata Sekolah UN SMP;68,43;57,69;57,48;61,75;;;;;;;;5251;-28.621.942;1.198.352.303
Kabupaten Toraja Utara;Nilai Rata-rata Sekolah UN SMA IPA;74,86;68,26;74,95;;83,01;52,15;79,06;;;;;1283;-28.621.942;1.198.352.303
Kabupaten Toraja Utara;Nilai Rata-rata Sekolah UN SMA IPS;64,46;63,99;69,5;;;;;61,39;57,01;48,46;;596;-28.621.942;1.198.352.303
Kabupaten Toraja Utara;Nilai Rata-rata Sekolah UN SMA SMK;50,16;49,73;34,91;;;;;;;;78,52;2129;-28.621.942;1.198.352.303
Kabupaten Trenggalek;Nilai Rata-rata Sekolah UN SMP;75,44;53,11;43,92;53,86;;;;;;;;9990;-8.05;1.117.166.667
Kabupaten Trenggalek;Nilai Rata-rata Sekolah UN SMA SMK;71,66;56,35;48,04;;;;;;;;80,47;3306;-8.05;1.117.166.667
Kabupaten Trenggalek;Nilai Rata-rata Sekolah UN SMA IPS;66,11;63,27;49,54;;;;;60,42;66,3;45,95;;1623;-8.05;1.117.166.667
Kabupaten Trenggalek;Nilai Rata-rata Sekolah UN SMA IPA;76,73;72,9;65,97;;76,02;48,58;74,77;;;;;1647;-8.05;1.117.166.667
Kabupaten Tuban;Nilai Rata-rata Sekolah UN SMA IPA;74,87;71,37;67,23;;72,39;57,19;72,6;;;;;2633;-87.493.146;1.151.711.298
Kabupaten Tuban;Nilai Rata-rata Sekolah UN SMA IPS;66,13;63,37;58,32;;;;;58,95;67,56;53,57;;3236;-87.493.146;1.151.711.298
Kabupaten Tuban;Nilai Rata-rata Sekolah UN SMA SMK;67,28;51,28;43,78;;;;;;;;77,84;4418;-87.493.146;1.151.711.298
Kabupaten Tuban;Nilai Rata-rata Sekolah UN SMP;73,71;55,97;50,25;59,67;;;;;;;;16220;-87.493.146;1.151.711.298
Kabupaten Tulangbawang;Nilai Rata-rata Sekolah UN SMP;65,76;48,19;44,44;46,52;;;;;;;;5861;-43.176.576;1.055.005.483
Kabupaten Tulangbawang;Nilai Rata-rata Sekolah UN SMA SMK;67,13;46,49;47,7;;;;;;;;84,77;1469;-43.176.576;1.055.005.483
Kabupaten Tulangbawang;Nilai Rata-rata Sekolah UN SMA IPS;71,37;57,99;66,09;;;;;56,38;59,86;57,49;;1024;-43.176.576;1.055.005.483
Kabupaten Tulangbawang;Nilai Rata-rata Sekolah UN SMA IPA;74,3;60,28;56,91;;62,77;57,84;58,54;;;;;534;-43.176.576;1.055.005.483
Kabupaten Tulangbawang Barat;Nilai Rata-rata Sekolah UN SMA IPA;75,62;57,01;44,46;;48,73;45,38;61,26;;;;;575;-45.256.967;1.050.791.228
Kabupaten Tulangbawang Barat;Nilai Rata-rata Sekolah UN SMA IPS;66,02;51,14;46,14;;;;;46,87;47,64;42,98;;950;-45.256.967;1.050.791.228
Kabupaten Tulangbawang Barat;Nilai Rata-rata Sekolah UN SMA SMK;58,56;38,29;26,46;;;;;;;;82,7;823;-45.256.967;1.050.791.228
Kabupaten Tulangbawang Barat;Nilai Rata-rata Sekolah UN SMP;67,85;44,43;41,27;43,66;;;;;;;;4082;-45.256.967;1.050.791.228
Kabupaten Tulungagung;Nilai Rata-rata Sekolah UN SMP;77,24;70,3;68,67;72,19;;;;;;;;15325;-80.666.667;4,63
Kabupaten Tulungagung;Nilai Rata-rata Sekolah UN SMA IPA;78,28;75,81;71,13;;77,67;65,92;75,14;;;;;2512;-80.666.667;4,63
Kabupaten Tulungagung;Nilai Rata-rata Sekolah UN SMA IPS;69,3;69,15;68,47;;;;;62,58;70;60,02;;2749;-80.666.667;4,63
Kabupaten Tulungagung;Nilai Rata-rata Sekolah UN SMA SMK;71,57;53,48;45,47;;;;;;;;78,69;4998;-80.666.667;4,63
Kabupaten Wajo;Nilai Rata-rata Sekolah UN SMA SMK;66,79;67,12;71,1;;;;;;;;79,14;741;-4.022.229;1.200.665.236
Kabupaten Wajo;Nilai Rata-rata Sekolah UN SMA IPS;70,46;67,96;82,34;;;;;64,51;58,15;61,3;;1078;-4.022.229;1.200.665.236
Kabupaten Wajo;Nilai Rata-rata Sekolah UN SMA IPA;77,35;71,22;75,55;;80,87;61,58;78,91;;;;;1621;-4.022.229;1.200.665.236
Kabupaten Wajo;Nilai Rata-rata Sekolah UN SMP;73,23;67,23;67,06;71,05;;;;;;;;5526;-4.022.229;1.200.665.236
Kabupaten Wakatobi;Nilai Rata-rata Sekolah UN SMP;66,2;60,68;57,37;64,45;;;;;;;;2107;-53.264.442;1.235.951.925
Kabupaten Wakatobi;Nilai Rata-rata Sekolah UN SMA IPS;60,58;57,3;48,5;;;;;54,79;56,52;46,13;;897;-53.264.442;1.235.951.925
Kabupaten Wakatobi;Nilai Rata-rata Sekolah UN SMA IPA;69,61;65,3;64,25;;70,28;52,02;60,7;;;;;631;-53.264.442;1.235.951.925
Kabupaten Wakatobi;Nilai Rata-rata Sekolah UN SMA SMK;51,97;52,5;39,41;;;;;;;;74,63;139;-53.264.442;1.235.951.925
Kabupaten Waropen;Nilai Rata-rata Sekolah UN SMP;77,65;71,03;75,52;73,58;;;;;;;;451;-28.435.717;136.670.534
Kabupaten Waropen;Nilai Rata-rata Sekolah UN SMA IPA;62,49;42,68;50,49;;42,87;40,74;40,1;;;;;122;-28.435.717;136.670.534
Kabupaten Waropen;Nilai Rata-rata Sekolah UN SMA SMK;54,38;60,86;62,16;;;;;;;;73,76;74;-28.435.717;136.670.534
Kabupaten Waropen;Nilai Rata-rata Sekolah UN SMA IPS;54,94;39,38;55,03;;;;;48,37;67,66;39,08;;52;-28.435.717;136.670.534
Kabupaten Way Kanan;Nilai Rata-rata Sekolah UN SMP;73,79;63,13;60,27;63,63;;;;;;;;6825;-44.963.689;1.045.655.273
Kabupaten Way Kanan;Nilai Rata-rata Sekolah UN SMA IPA;69,58;49,44;43,44;;43,27;40,99;53,42;;;;;1034;-44.963.689;1.045.655.273
Kabupaten Way Kanan;Nilai Rata-rata Sekolah UN SMA IPS;65,07;49,16;46,27;;;;;48,02;49,51;45,58;;1784;-44.963.689;1.045.655.273
Kabupaten Way Kanan;Nilai Rata-rata Sekolah UN SMA SMK;59,18;46,49;36,19;;;;;;;;82,78;1270;-44.963.689;1.045.655.273
Kabupaten Wonogiri;Nilai Rata-rata Sekolah UN SMA IPA;81,52;62,07;48,88;;56,21;58,37;59,69;;;;;1412;-7.817.782;110.920.601
Kabupaten Wonogiri;Nilai Rata-rata Sekolah UN SMA IPS;75,38;54,13;47,71;;;;;51,97;62,17;53,67;;1509;-7.817.782;110.920.601
Kabupaten Wonogiri;Nilai Rata-rata Sekolah UN SMA SMK;73,35;56;48,92;;;;;;;;86,03;6297;-7.817.782;110.920.601
Kabupaten Wonogiri;Nilai Rata-rata Sekolah UN SMP;78,07;54,61;48,28;58,14;;;;;;;;14573;-7.817.782;110.920.601
Kabupaten Wonosobo;Nilai Rata-rata Sekolah UN SMA SMK;75,22;55,52;52,11;;;;;;;;85,27;3352;-7.362.109;109.899.399
Kabupaten Wonosobo;Nilai Rata-rata Sekolah UN SMA IPS;73,49;50,38;49,66;;;;;55,46;62,7;51,36;;1338;-7.362.109;109.899.399
Kabupaten Wonosobo;Nilai Rata-rata Sekolah UN SMA IPA;79,37;58,07;45,26;;56,43;51,52;55,27;;;;;1150;-7.362.109;109.899.399
Kabupaten Wonosobo;Nilai Rata-rata Sekolah UN SMP;77,22;53,77;50;55,94;;;;;;;;11856;-7.362.109;109.899.399
Kabupaten Yahukimo;Nilai Rata-rata Sekolah UN SMA IPS;70,14;63,67;72,38;;;;;54,9;58,41;38,91;;147;-44.939.717;1.395.279.996
Kabupaten Yahukimo;Nilai Rata-rata Sekolah UN SMA SMK;61,14;80,41;60,91;;;;;;;;73,28;44;-44.939.717;1.395.279.996
Kabupaten Yahukimo;Nilai Rata-rata Sekolah UN SMA IPA;77,59;61,97;61,24;;74,81;63,92;43,58;;;;;53;-44.939.717;1.395.279.996
Kabupaten Yahukimo;Nilai Rata-rata Sekolah UN SMP;64,42;63,64;65,47;65,11;;;;;;;;792;-44.939.717;1.395.279.996
Kabupaten Yalimo;Nilai Rata-rata Sekolah UN SMP;57;62,16;51,44;59,56;;;;;;;;275;-37.852.847;1.394.466.005
Kabupaten Yalimo;Nilai Rata-rata Sekolah UN SMA IPA;62,43;48,14;38,75;;40,81;52,98;50,48;;;;;31;-37.852.847;1.394.466.005
Kabupaten Yalimo;Nilai Rata-rata Sekolah UN SMA SMK;57,02;53,16;42;;;;;;;;71,6;45;-37.852.847;1.394.466.005
Kabupaten Yalimo;Nilai Rata-rata Sekolah UN SMA IPS;64,83;52,58;60,06;;;;;40,88;52;33,06;;51;-37.852.847;1.394.466.005
Kota Ambon;Nilai Rata-rata Sekolah UN SMP;66,54;60,67;53,29;61,1;;;;;;;;6310;-365.607;128.166.419
Kota Ambon;Nilai Rata-rata Sekolah UN SMA IPS;54,61;63,41;44,11;;;;;48,92;57,34;37,75;;2517;-365.607;128.166.419
Kota Ambon;Nilai Rata-rata Sekolah UN SMA IPA;67,44;70,26;58,71;;67,45;59,42;60,63;;;;;2396;-365.607;128.166.419
Kota Ambon;Nilai Rata-rata Sekolah UN SMA SMK;53,67;53,05;39,22;;;;;;;;76,85;1591;-365.607;128.166.419
Kota Balikpapan;Nilai Rata-rata Sekolah UN SMA SMK;67,45;52,67;39,54;;;;;;;;75,57;3990;-12.635.389;1.168.278.833
Kota Balikpapan;Nilai Rata-rata Sekolah UN SMA IPS;67,98;55,87;39,96;;;;;41,85;56,73;45,1;;1748;-12.635.389;1.168.278.833
Kota Balikpapan;Nilai Rata-rata Sekolah UN SMP;74,96;57,47;47,65;51,38;;;;;;;;9692;-12.635.389;1.168.278.833
Kota Balikpapan;Nilai Rata-rata Sekolah UN SMA IPA;76,26;70,27;50,63;;57,62;54,85;58,16;;;;;1853;-12.635.389;1.168.278.833
Kota Banda Aceh;Nilai Rata-rata Sekolah UN SMA SMK;60,59;60,51;37,68;;;;;;;;74,99;889;0;953.166.667
Kota Banda Aceh;Nilai Rata-rata Sekolah UN SMA IPS;74,33;70,27;73,69;;;;;59,86;63,63;64,44;;1399;0;953.166.667
Kota Banda Aceh;Nilai Rata-rata Sekolah UN SMA IPA;81,89;77,25;69,09;;83,13;80,2;75,53;;;;;2476;0;953.166.667
Kota Banda Aceh;Nilai Rata-rata Sekolah UN SMP;79,54;79,09;73,89;72,44;;;;;;;;4520;0;953.166.667
Kota Bandar Lampung;Nilai Rata-rata Sekolah UN SMA IPA;77,28;69,94;60,28;;52,47;57,68;73,21;;;;;4543;-5.45;1.052.666.667
Kota Bandar Lampung;Nilai Rata-rata Sekolah UN SMA IPS;69,57;62,84;62,36;;;;;53,37;50,11;59,29;;4482;-5.45;1.052.666.667
Kota Bandar Lampung;Nilai Rata-rata Sekolah UN SMA SMK;60,79;47,4;33,08;;;;;;;;80,69;6108;-5.45;1.052.666.667
Kota Bandar Lampung;Nilai Rata-rata Sekolah UN SMP;71,94;69,19;57,03;69,76;;;;;;;;16860;-5.45;1.052.666.667
Kota Bandung;Nilai Rata-rata Sekolah UN SMA SMK;68,16;60,02;54,67;;;;;;;;78,02;18349;-69.147.444;1.076.098.111
Kota Bandung;Nilai Rata-rata Sekolah UN SMA IPS;73,64;61,77;65,49;;;;;58,04;54,61;66,67;;8711;-69.147.444;1.076.098.111
Kota Bandung;Nilai Rata-rata Sekolah UN SMA IPA;80,17;69,39;61,65;;79,08;70,3;71,53;;;;;11407;-69.147.444;1.076.098.111
Kota Bandung;Nilai Rata-rata Sekolah UN SMP;75,04;62,86;51,73;57,44;;;;;;;;40718;-69.147.444;1.076.098.111
Kota Banjar;Nilai Rata-rata Sekolah UN SMP;69,6;52,7;50,04;53,68;;;;;;;;3583;-73.666.667;1.085.333.333
Kota Banjar;Nilai Rata-rata Sekolah UN SMA SMK;65,82;55,31;53,87;;;;;;;;77,35;2150;-73.666.667;1.085.333.333
Kota Banjar;Nilai Rata-rata Sekolah UN SMA IPS;69,93;58,53;58,78;;;;;54,98;58;56,84;;597;-73.666.667;1.085.333.333
Kota Banjar;Nilai Rata-rata Sekolah UN SMA IPA;75,5;61,43;55,17;;72,1;65,06;65,4;;;;;747;-73.666.667;1.085.333.333
Kota Banjarbaru;Nilai Rata-rata Sekolah UN SMA SMK;67,49;58,73;46,09;;;;;;;;75,91;1403;;
Kota Banjarbaru;Nilai Rata-rata Sekolah UN SMA IPS;67,83;59,22;52,16;;;;;52,96;62,75;45,6;;936;;
Kota Banjarbaru;Nilai Rata-rata Sekolah UN SMP;72,04;63,42;56,77;67,41;;;;;;;;3677;;
Kota Banjarbaru;Nilai Rata-rata Sekolah UN SMA IPA;77,72;73,65;75,65;;74,21;66,7;66,78;;;;;497;;
Kota Banjarmasin;Nilai Rata-rata Sekolah UN SMA IPA;73,67;73,96;75,16;;76,49;60,28;65,13;;;;;2189;-3.328.499;114.589.203
Kota Banjarmasin;Nilai Rata-rata Sekolah UN SMP;75,33;67,99;64,85;75,81;;;;;;;;10684;-3.328.499;114.589.203
Kota Banjarmasin;Nilai Rata-rata Sekolah UN SMA IPS;65,84;65,02;54,78;;;;;54,38;64,95;47,37;;2143;-3.328.499;114.589.203
Kota Banjarmasin;Nilai Rata-rata Sekolah UN SMA SMK;64,25;49,08;35,48;;;;;;;;73,41;3808;-3.328.499;114.589.203
Kota Batam;Nilai Rata-rata Sekolah UN SMP;75,46;62,42;49,13;54,27;;;;;;;;12711;10.456.264;1.040.304.535
Kota Batam;Nilai Rata-rata Sekolah UN SMA IPA;79,56;68,66;47,02;;66,73;54,48;61,93;;;;;1574;10.456.264;1.040.304.535
Kota Batam;Nilai Rata-rata Sekolah UN SMA SMK;70,54;62,37;46,84;;;;;;;;77,46;4134;10.456.264;1.040.304.535
Kota Batam;Nilai Rata-rata Sekolah UN SMA IPS;72,02;56,48;43,39;;;;;42,78;57,18;46,89;;2585;10.456.264;1.040.304.535
Kota Batu;Nilai Rata-rata Sekolah UN SMA IPA;80,23;67,8;47,7;;56,42;51,69;58,28;;;;;568;-78.671;1.125.239
Kota Batu;Nilai Rata-rata Sekolah UN SMA IPS;75;60,79;48,51;;;;;55,91;66,1;49,7;;579;-78.671;1.125.239
Kota Batu;Nilai Rata-rata Sekolah UN SMA SMK;72,84;51,14;45,21;;;;;;;;78,6;1119;-78.671;1.125.239
Kota Batu;Nilai Rata-rata Sekolah UN SMP;78,35;56,55;48,68;55,11;;;;;;;;3219;-78.671;1.125.239
Kota Baubau;Nilai Rata-rata Sekolah UN SMA SMK;59,28;41,33;32,12;;;;;;;;72,8;741;-546.667;122.633
Kota Baubau;Nilai Rata-rata Sekolah UN SMA IPA;63,87;70,14;72,33;;77,87;56,23;72,53;;;;;1530;-546.667;122.633
Kota Baubau;Nilai Rata-rata Sekolah UN SMA IPS;52,48;63,99;37,71;;;;;64,65;62,97;47,63;;846;-546.667;122.633
Kota Baubau;Nilai Rata-rata Sekolah UN SMP;65,74;50,67;42,62;57,04;;;;;;;;2912;-546.667;122.633
Kota Bekasi;Nilai Rata-rata Sekolah UN SMP;73,02;61,23;55,01;57,82;;;;;;;;37800;-62.333.333;107
Kota Bekasi;Nilai Rata-rata Sekolah UN SMA SMK;64,15;54,67;50,95;;;;;;;;77,61;17649;-62.333.333;107
Kota Bekasi;Nilai Rata-rata Sekolah UN SMA IPS;73,68;64,85;69,52;;;;;59,65;56,66;68,1;;6518;-62.333.333;107
Kota Bekasi;Nilai Rata-rata Sekolah UN SMA IPA;79,72;70,92;62,32;;76,53;70,8;74,51;;;;;7074;-62.333.333;107
Kota Bengkulu;Nilai Rata-rata Sekolah UN SMP;72,29;52,13;44,06;48,59;;;;;;;;5976;-37.955.556;1.022.591.667
Kota Bengkulu;Nilai Rata-rata Sekolah UN SMA IPA;73,25;67,95;46,69;;76,42;55,18;71,83;;;;;1693;-37.955.556;1.022.591.667
Kota Bengkulu;Nilai Rata-rata Sekolah UN SMA SMK;58,91;47,42;33,36;;;;;;;;71,87;2272;-37.955.556;1.022.591.667
Kota Bengkulu;Nilai Rata-rata Sekolah UN SMA IPS;59,34;58,74;39,6;;;;;39,8;41,29;40,18;;1989;-37.955.556;1.022.591.667
Kota Bima;Nilai Rata-rata Sekolah UN SMP;58,96;55,16;49,46;52,77;;;;;;;;2929;-8.460.566;118.727.402
Kota Bima;Nilai Rata-rata Sekolah UN SMA IPS;44,13;36,43;25,81;;;;;32,32;37,51;31,06;;877;-8.460.566;118.727.402
