Wilayah;Keterangan;Bahasa Indonesia;Bahasa Inggris;Matematika;IPA;Fisika;Kimia;Biologi;Ekonomi;Sosiologi;Geografi;Kejuruan;Jumlah Peserta;latitude;longitude
Provinsi Kalimantan Utara;Nilai Rata-rata Sekolah UN SMA IPS;60,6;44,43;32,25;;;;;35,51;50,44;38,63;;2614;;
Provinsi Kalimantan Utara;Nilai Rata-rata Sekolah UN SMA SMK;61,26;41,41;33,03;;;;;;;;73,64;2186;;
Provinsi Kalimantan Utara;Nilai Rata-rata Sekolah UN SMA IPA;68,91;53,38;32,03;;39,39;37,64;40,19;;;;;2056;;
Provinsi Kalimantan Utara;Nilai Rata-rata Sekolah UN SMP;69,29;53,62;48,02;52,45;;;;;;;;9247;;
Provinsi Kepulauan Riau;Nilai Rata-rata Sekolah UN SMP;73,44;59,41;48,07;52,92;;;;;;;;25586;39.456.514;1.081.428.669
Provinsi Kepulauan Riau;Nilai Rata-rata Sekolah UN SMA IPA;77,43;63,42;42,46;;57,06;51,29;56,63;;;;;4268;39.456.514;1.081.428.669
Provinsi Kepulauan Riau;Nilai Rata-rata Sekolah UN SMA IPS;70,06;53,4;41,11;;;;;42,32;54,08;45,66;;6868;39.456.514;1.081.428.669
Provinsi Kepulauan Riau;Nilai Rata-rata Sekolah UN SMA SMK;67,88;59,3;43,79;;;;;;;;76,6;7126;39.456.514;1.081.428.669
Provinsi Lampung;Nilai Rata-rata Sekolah UN SMP;68,62;53,25;47,73;52,55;;;;;;;;135457;-45.585.849;1.054.068.079
Provinsi Lampung;Nilai Rata-rata Sekolah UN SMA IPA;73,75;61,24;49,91;;49,38;49,88;62,73;;;;;21889;-45.585.849;1.054.068.079
Provinsi Lampung;Nilai Rata-rata Sekolah UN SMA IPS;66,3;54,6;50,8;;;;;49,34;49,38;49,08;;31193;-45.585.849;1.054.068.079
Provinsi Lampung;Nilai Rata-rata Sekolah UN SMA SMK;60,95;45,02;33,67;;;;;;;;82,13;33281;-45.585.849;1.054.068.079
