Wilayah;Lintang;Bujur;SD;SMP;SMA;SMK;PLB
Kab. Blora;-7,074392;111,384717;18,85;28,78;26,73;36,78;6,23
Kab. Boalemo;0,655754;122,325841;21,16;20,51;27,71;20,14;8,29
Kab. Bogor;-6,559079;106,767375;41,23;38,68;37,2;35,47;9,94
Kab. Bojonegoro;-7,255095;111,80608;17,22;28,22;31,5;30,56;5,02
Kab. Bolaang Mongondaw;0,709339;124,038452;19,92;24,45;24,16;17,63;0
Kab. Bolaang Mongondaw Selatan;0,444111;123,932725;20,34;22,72;23,29;25,9;0
Kab. Bolaang Mongondaw Timur;0,719165;124,509914;21,04;22,35;24,88;32,14;0
Kab. Bolaang Mongondow Utara;0,766657;123,47341;16,85;22,03;21,92;23,89;0
Kab. Bombana;-4,797704;121,850748;20,13;21,92;28,94;18,74;0
Kab. Bondowoso;-7,941741;113,945851;17,59;28,71;29,37;38,43;5,94
Kab. Bone;-4,695153;120,129691;17,84;25,31;32,47;46,18;5,49
Kab. Bone Bolango;0,533177;123,290836;19,76;25,54;28,19;26,59;9
Kab. Boven Digoel;-6,122843;140,379869;21,41;28,61;26,23;25,96;0
Kab. Boyolali;-7,410255;110,652926;19,41;28,42;26,17;31,01;4,94
Kab. Brebes;-7,060354;108,928851;26,86;34,54;33,7;37,1;9
Kab. Buleleng;-8,199467;114,963834;23,52;38,61;30,33;50,23;6,5
Kab. Bulukumba;-5,432482;120,236118;19,58;25,73;31,55;23,16;7,76
Kab. Bulungan;2,801163;117,024255;18,41;23,79;28,13;25,91;4
Kab. Bungo;-1,596065;101,925538;24,18;26,29;29,79;23,14;6,33
Kab. Buol;0,977957;121,3727;20,19;22,99;40,09;25,53;3,83
Kab. Buru;-3,303007;126,7214;20,97;26,17;33,16;18,27;29
Kab. Buru Selatan;-3,582697;126,576034;20,92;21,19;26,02;17,38;3,33
Kab. Buton;-5,314262;122,924466;21,26;19,32;24,35;21,65;0
Kab. Buton Selatan;-5,609582;122,677173;27,44;21,67;24,47;31,23;0
Kab. Buton Tengah;-5,316847;122,399193;23,92;20,8;29,68;28,73;0
Kab. Buton Utara;-4,701505;123,0159;18,48;19,05;29,07;14,71;0
Kab. Ciamis;-7,282888;108,427236;20,79;29,56;30,13;42,52;7,22
Kab. Cianjur;-7,124955;107,156307;30,07;38,83;33,63;33,31;5,86
Kab. Cilacap;-7,480891;108,890039;25,54;30,66;27,97;33,97;10,56
Kab. Cirebon;-6,741785;108,548783;33,07;35,26;35,68;38,55;8,93
Kab. Dairi;2,843814;98,266747;23,86;30,73;33,39;34,96;4,86
Kab. Deiyai;-4,074512;136,250228;15,24;28,38;12,77;11,5;0
Kab. Deli Serdang;3,480051;98,694101;32,45;34,49;31,03;32,09;7,26
Kab. Demak;-6,916308;110,626379;25,16;28,76;31,46;31,45;5,13
Kab. Dharmasraya;-1,126912;101,551537;22,83;23,89;27,11;38,38;101
Kab. Dogiyai;-3,726905;136,044207;36,4;32,77;25,25;93,33;0
Kab. Dompu;-8,472132;118,216692;22,68;29,32;35,7;38,79;10,11
Kab. Donggala;-0,395561;119,835831;20,73;24,53;34,79;24,37;10
Kab. Empat Lawang;-3,751933;102,953593;25,28;33,42;33,36;31,45;0
Kab. Ende;-8,677103;121,734144;16,9;23,89;26,18;33,01;5,8
Kab. Enrekang;-3,503678;119,872023;16,72;22,99;26,3;24,29;7,17
Kab. Fak-Fak;-3,059255;132,912189;16,89;22,91;26,09;21,19;0
Kab. Flores Timur;-8,365124;122,944382;17,72;26,31;29,1;20,86;10,69
Kab. Garut;-7,357288;107,784696;31,19;33,06;36,76;40;9,72
Kab. Gayo Lues;3,98198;97,357319;17,84;19,9;24,34;16,48;5,13
Kab. Gianyar;-8,478126;115,286786;25,22;39,85;38,82;39,59;7,32
Kab. Gorontalo;0,695235;122,706575;22,58;22,8;30,49;23,2;14,08
Kab. Gorontalo Utara;0,885959;122,661088;18,5;21,73;26,82;21,87;6,92
Kab. Gowa;-5,309236;119,718604;28,93;37,27;43,39;29,79;9,67
Kab. Gresik;-7,028829;112,587463;23,2;29,15;29,11;34,82;6,06
Kab. Grobogan;-7,117493;110,928751;24,99;29,37;35;34,85;5,91
Kab. Gunung Kidul;-7,993464;110,614522;16,46;25,55;23,11;27,39;4,39
Kab. Gunung Mas;-1,025541;113,533128;14,37;21,21;25,53;16,45;3,14
Kab. Halmahera Barat;1,364228;127,589681;14,84;21,73;31,32;15,64;8,86
Kab. Halmahera Selatan;-0,82365;127,705225;22,37;25,08;30,61;20,48;7,8
Kab. Halmahera Tengah;0,40291;128,281735;18,05;17,4;21,28;17,73;0
